Source Name,Characteristics[organism],Characteristics[cell line],Material Type,Protocol REF...5,Protocol REF...6,Extract Name,Protocol REF...8,Labeled Extract Name,Label,Protocol REF...11,Assay Name,Technology Type,Array Design REF,Term Source REF,Protocol REF...16,Array Data File,Comment [ArrayExpress FTP file],Factor Value[cell_line]
J132_EPA01P1_CAL-120_Breast_906826,Homo sapiens,CAL-120,cell,P-MTAB-44941,P-MTAB-44940,J132_EPA01P1_CAL-120_Breast_906826,P-MTAB-44937,J132_EPA01P1_CAL-120_Breast_906826:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_A01,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_A01.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.25.zip,CAL-120
J132_EPA02P1_DMS-114_Lung_687983,Homo sapiens,DMS-114,cell,P-MTAB-44941,P-MTAB-44940,J132_EPA02P1_DMS-114_Lung_687983,P-MTAB-44937,J132_EPA02P1_DMS-114_Lung_687983:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_A02,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_A02.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip,DMS-114
J132_EPA03P1_CAL-51_Breast_910927,Homo sapiens,CAL-51,cell,P-MTAB-44941,P-MTAB-44940,J132_EPA03P1_CAL-51_Breast_910927,P-MTAB-44937,J132_EPA03P1_CAL-51_Breast_910927:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_A03,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_A03.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip,CAL-51
J132_EPA04P1_H2869_Lung_1240138,Homo sapiens,H2869,cell,P-MTAB-44941,P-MTAB-44940,J132_EPA04P1_H2869_Lung_1240138,P-MTAB-44937,J132_EPA04P1_H2869_Lung_1240138:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_A04,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_A04.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip,H2869
J132_EPA05P1_H290_Lung_1240139,Homo sapiens,H290,cell,P-MTAB-44941,P-MTAB-44940,J132_EPA05P1_H290_Lung_1240139,P-MTAB-44937,J132_EPA05P1_H290_Lung_1240139:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_A05,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_A05.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip,H290
J132_EPA10P1_HCC1419_Breast_907045,Homo sapiens,HCC1419,cell,P-MTAB-44941,P-MTAB-44940,J132_EPA10P1_HCC1419_Breast_907045,P-MTAB-44937,J132_EPA10P1_HCC1419_Breast_907045:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_A10,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_A10.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.3.zip,HCC1419
J132_EPA11P1_ETK-1_Biliary_906861,Homo sapiens,ETK-1,cell,P-MTAB-44941,P-MTAB-44940,J132_EPA11P1_ETK-1_Biliary_906861,P-MTAB-44937,J132_EPA11P1_ETK-1_Biliary_906861:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_A11,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_A11.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.3.zip,ETK-1
J132_EPA12P1_C32_Skin_906830,Homo sapiens,C32,cell,P-MTAB-44941,P-MTAB-44940,J132_EPA12P1_C32_Skin_906830,P-MTAB-44937,J132_EPA12P1_C32_Skin_906830:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_A12,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_A12.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.3.zip,C32
J132_EPB01P1_SW1783_CNS_909750,Homo sapiens,SW1783,cell,P-MTAB-44941,P-MTAB-44940,J132_EPB01P1_SW1783_CNS_909750,P-MTAB-44937,J132_EPB01P1_SW1783_CNS_909750:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_B01,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_B01.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.3.zip,SW1783
J132_EPB02P1_H2810_Lung_1240137,Homo sapiens,H2810,cell,P-MTAB-44941,P-MTAB-44940,J132_EPB02P1_H2810_Lung_1240137,P-MTAB-44937,J132_EPB02P1_H2810_Lung_1240137:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_B02,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_B02.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.3.zip,H2810
